topic,rank,doc
26,3,#POTUS #SCOTUS #GOP #DNC #FoxNews #CNN #Antifa #BlackLivesMatter #PONTIFEX #CopelandNetwork #UN #NATO #WSJ #NYSE #California #RepMTG #RepBoebert You don't get it do you?
27,1,US President Joe Biden says Russia 'shamelessly violated the core tenets' of the UN charter —Al Jazeera English #russia
27,2,🇺🇸 #Biden: #Russia has shamelessly violated the core tenets of the United Nations Charter.
27,3,🚨 Biden: #Russia has shamelessly violated core tenets of UN Charter
28,1,"We demand the unconditional RELEASE of Our Leader Mazi Nnamdi Kanu, a victim of Extraordinary Rendition by Nigeria &amp; Kenya, a Prisoner of Conscience and #Referendum for Biafra Indigenous People who are victims of Nigeria continuous #genocide. #FreeNnamdiKanu"
28,2,"Free Mazi Nnamdi Kanu Now, A call for Referendum is not and can never be a call for #war. One Hopeless Nigeria is a crime again humanity"
28,3,"The same way the UN will abandon Nigeria government for violation of human rights, illegal occupation in Biafra, extraordinary rendition of Mazi Nnamdi Kanu #RussiaUkraineWar #FreeMaziNnamdiKanuNow"
29,1,"#Russia #Ukraine war could cause global food crisis, UN warns"
29,2,"Ukraine invasion could cause global food crisis, UN warns - #ukraine #food #kyiv"
29,3,"Ukraine invasion could cause global food crisis, UN warns #Ukraine #UN #FoodCrisis"
30,1,#Russia and #Ukraine sign grain export deal with #Turkey and the
30,2,"#Ukraine, #Russia sign grain export deal with #UN, #Turkey in Istanbul"
30,3,#BREAKING 🚨#UkraineRussia #GrainDeal JUSTIn TurkeyPres Grain export deal Ukraine-Russia-UN-Turkey to be signed at DolmabahcePalace Istanbul 9:30amET / UnitedNations
31,1,League of Nations -》United Nations -》 League of Nations Innocent lives at stake ! #geopolitics #leagueofnations #UnitedNations #Ukraine #Russia #UkraineRussiaCrisis
31,2,"Okay… if the failure of The United Nations to stop us getting to this point wasn’t enough, public backlash here will do it. Like the League of Nations before it…. The UN has failed: it fails to uphold its purpose, therefore serves no purpose. #UNGA #UNSC #UnitedNations #Ukraine"
31,3,"After the war, the League of Nations was reinvented as The United Nations. The League of Nations was no longer fit for purpose. The UN was born. And here we are again. What will come next? The League of Who Gives A Fuck? #UN #Ukraine"
32,1,Outrage over video showing Ukrainian soldier's apparent execution #UkraineRussiaCrisis #Pentagon #NATO #EuropeanUnion #UnitedNations #Crimea #Ukraine #Kyiv #Russia #Europe #BlackSea #Belarus #TheBaltics #Sanctions #SWIFTban #Invasion #UN
